代號,名稱,年/月,營業利益率,稅後淨利率,每股盈餘,ROE(A)－稅後,速動比率,負債比率,來自營運之現金流量,營收成長率,股利殖利率,現金股利率,普通股每股現金股利（盈餘及公積）,交易所主產業代碼,利息保障倍數,總資產週轉次數,存貨週轉率（次）,平均收帳天數,平均售貨天數
1314,中石化,2019/12,-1.38,5.85,0.61,2.58,139.33,30.35,"-8,403,512",-23.06,3.55,3.55,0.3,M1300,14.27,0.32,4.69,26.74,77.87
1315,達新,2019/12,1.71,28.61,3.65,8.66,266.44,15.44,"291,393",-4.04,7.71,7.71,3.65,M1300,104.47,0.25,3.21,64.63,113.76
1316,上曜,2019/12,-15.91,-10.36,-0.96,-3.06,10.61,64.56,"-2,484,463",-52.52,0,0,0,M2500,-1.55,0.11,0.15,78.91,2478.45
1319,東陽,2019/12,10.01,8.58,3.36,8.32,74.35,38.72,"5,227,191",-6.05,3.86,3.86,1.8,M2200,14.24,0.58,6.01,70.48,60.77
1321,大洋,2019/12,-2.42,2.51,0.53,2.2,115.48,53.98,"364,954",-2.53,0,0,0,M1300,5.91,0.4,8.61,50.77,42.38
1323,永裕,2019/12,12.39,9.71,3.18,15.19,317.88,53.79,"740,712",-3.18,4.71,4.71,1.6,M1300,28.18,0.78,4.73,83.16,77.17
1324,地球,2019/12,0.87,0.28,0.04,0.32,248.08,20.43,"10,806",-0.1,3.11,3.11,0.3,M1300,87.43,0.9,4.64,65.61,78.59
1325,恒大,2019/12,4.34,4.49,0.43,1.95,1577.2,5.91,"100,846",-15.49,1.78,1.78,0.3,M1300,1629.41,0.41,4.97,61.52,73.39
1326,台化,2019/12,5.23,10.92,5.09,7.89,204.24,25.66,"59,012,528",-22.65,4.34,4.34,3.8,M1300,21.23,0.55,6.77,41.98,53.88
1337,再生-KY,2019/12,-52.68,-51.02,-2.39,-8.64,552.35,7.78,"-340,717",-14.09,0,0,0,M1300,-69.42,0.16,6.26,79.96,58.33
1338,廣華-KY,2019/12,7.88,5.27,4.78,5.83,156.17,34.02,"1,135,382",-7.87,5.2,5.2,3.5,M2200,9.53,0.74,6.27,97.15,58.2
1339,昭輝,2019/12,17.97,14.04,5.08,10.59,145.1,32.73,"643,939",-7,3.7,3.7,2,M2200,16.75,0.45,5.8,105.95,62.88
1340,勝悅-KY,2019/12,-31.98,-37.88,-2.87,-7.07,1821.52,4.34,"-194,433",-44.16,0,0,0,M1300,-120.4,0.18,86.58,116.04,4.22
1341,富林-KY,2019/12,11.92,9.31,5.69,24.02,81.19,42.95,"303,291",4.1,8.1,8.1,5,M1300,17.51,1.36,4.09,51.75,89.19
1402,遠東新,2019/12,5.5,6.57,2.15,6.1,67,52.9,"43,949,286",9.4,5.03,5.03,1.5,M1400,6.94,0.44,6.71,41.06,54.37
1409,新纖,2019/12,7.24,6.03,1.11,5.99,26.44,75.71,"4,765,184",-10.42,4.56,4.56,0.55,M1400,11.01,0.25,5.54,74.64,65.89
1410,南染,2019/12,19.02,16.65,0.94,5.53,1049.94,16.9,"95,409",-21.32,3.06,3.06,1,M1400,628.58,0.27,9.77,66.75,37.35
1413,宏洲,2019/12,1.99,2.33,0.52,5.87,26.16,56.4,"5,974",-19.27,0,0,0,M1400,7.87,1.15,5.26,28.1,69.43
1414,東和,2019/12,-8.19,4.6,0.17,1.18,77.56,32.28,"-21,499",-18.89,2.79,2.79,0.2,M1400,3.79,0.17,1.46,24.88,250.02
1416,廣豐,2019/12,-17.35,-51.65,-0.72,-3.28,13.15,45.3,"-93,777",-4.47,0,0,0,M1400,-2.4,0.04,0.03,44.45,13094.09
1417,嘉裕,2019/12,-19.67,22.58,1.18,9.74,205.44,28.48,"-36,836",-6.27,3.51,3.51,0.5,M1400,162.61,0.33,1.86,36.31,196.29
1418,東華,2019/12,-90.97,-101.21,-3.94,-28.84,72.74,74.13,"-267,777",-67.61,0,0,0,M1400,-5.44,0.08,2.2,2.01,166.25
1419,新紡,2019/12,5.44,18.18,1.29,4.42,62.62,32.35,"144,898",29.74,2.4,2.4,1,M1400,14.45,0.17,3.28,34.38,111.36
1423,利華,2019/12,-17.66,-7.95,-0.26,-1.52,2477.53,8.56,"-89,851",-40.21,1.16,1.16,0.12,M1400,-1321.31,0.18,0.85,9.71,431.78
1432,大魯閣,2019/12,-17.58,-55.16,-3.04,-43.64,25.09,80.6,"288,657",14.65,0,0,0,M2900,-7.53,0.28,0.62,13.14,588.47
1434,福懋,2019/12,2.9,15.86,3.08,6.65,99.28,20.48,"6,751,805",-17.47,7.31,7.31,2.5,M1400,24.65,0.42,3.93,43.84,92.87
1435,中福,2019/12,-79.96,97.38,0.16,2.31,11701.98,15.73,"-3,196",-29.55,0,0,0,M9900,577.03,0.02,0.22,21.34,1638.75
1436,華友聯,2019/12,17.27,11.31,2.45,8.83,9.16,71.9,"-1,180,358",-20.85,6.29,6.29,2.5,M2500,4.16,0.24,0.31,0.75,1191.07
1437,勤益控,2019/12,40.92,154.51,4.33,4.78,520.66,40.95,"276,887",-0.3,4.37,4.37,1.1,M9900,6.7,0.05,5.36,10.85,68.06
